"ID_EventBird","EventID","Yr","Mark","Ringno","Notes","DateCreate"
254,3,2014,"QPF","3344","",""
255,3,2014,"QPF","3332","",""
256,3,2014,"QPF","3327","",""
257,3,2014,"QPF","3323","",""
258,3,2010,"GCPC","668","",""
259,3,2005,"TIPC","1295","",""
260,3,2010,"GCPC","899","",""
261,3,2011,"GCPC","1237","",""
262,3,2014,"QPF","3328","",""
263,3,2013,"GOLD COAST","1009","",""
264,3,2008,"DDRPA","3110","",""
265,3,2011,"GCPC","1255","",""
266,3,2011,"GCPC","1226","",""
267,3,2012,"HIGHFIELDS","0880","",""
268,3,2012,"HIGHFIELDS","0895","",""
269,3,2012,"HIGHFIELDS","0942","",""
270,3,2012,"HIGHFIELDS","0919","",""
271,3,2012,"GRPA","1775","",""
272,3,2012,"GRPA","1773","",""
273,3,2013,"MILLMERRAN","028","",""
274,3,2013,"GOLD COAST","1001","",""
275,3,2013,"GOLD COAST","1008","",""
276,3,2013,"TRP","1607","",""
277,3,2013,"TRP","1606","",""
278,3,2013,"TRP","1605","",""
279,3,2013,"TRP","1604","",""
280,3,2013,"TRP","1603","",""
281,3,2013,"TRP","1602","",""
282,3,2013,"TRP","1601","",""
283,3,2013,"TRP","1612","",""
284,3,2013,"TRP","1611","",""
285,3,2013,"TRP","1610","",""
286,3,2013,"TRP","1609","",""
287,3,2013,"TRP","1654","",""
288,3,2013,"TRP","1652","",""
289,3,2014,"MILLMERRAN","5053","",""
290,3,2014,"MILLMERRAN","5071","",""
291,3,2014,"MILLMERRAN","5072","",""
292,3,2013,"GRPA","2061","",""
293,3,2013,"GRPA","2035","",""
294,3,2013,"GRPA","2030","",""
295,3,2013,"GRPA","2028","",""
296,3,2013,"GRPA","2019","",""
297,3,2013,"GRPA","2013","",""
298,3,2014,"QPF","11705","",""
299,3,2014,"QPF","11704","",""
300,3,2014,"QPF","11703","",""
301,3,2014,"QPF","11701","",""
302,3,2014,"QPF","11710","",""
303,3,2014,"QPF","11709","",""
304,3,2014,"QPF","11708","",""
305,3,2014,"QPF","11707","",""
306,3,2014,"QPF","11706","",""
307,3,2014,"QPF","11723","",""
308,3,2014,"QPF","11721","",""
309,3,2014,"QPF","11719","",""
310,3,2014,"QPF","11715","",""
311,3,2014,"QPF","11712","",""
312,3,2014,"QPF","11730","",""
313,3,2014,"QPF","11729","",""
314,3,2014,"QPF","11728","",""
315,3,2014,"QPF","11727","",""
316,3,2014,"QPF","11726","",""
317,3,2014,"QPF","11725","",""
318,3,2014,"QPF","11724","",""
319,3,2014,"SAMDPR","310","",""
320,3,2014,"SAMDPR","309","",""
321,3,2014,"SAMDPR","307","",""
322,3,2014,"SAMDPR","306","",""
323,3,2014,"SAMDPR","304","",""
324,3,2014,"SAMDPR","312","",""
325,3,2014,"SAMDPR","313","",""
326,3,2014,"SAMDPR","314","",""
327,3,2014,"SAMDPR","315","",""
328,3,2014,"SAMDPR","316","",""
329,3,2014,"SAMDPR","317","",""
330,3,2014,"SAMDPR","318","",""
331,3,2014,"SAMDPR","320","",""
332,3,2014,"QPF","3307","",""
333,3,2014,"QPF","3305","",""
334,3,2014,"QPF","3304","",""
335,3,2014,"QPF","3303","",""
336,3,2014,"QPF","3302","",""
337,3,2014,"QPF","3301","",""
338,3,2014,"QPF","3308","",""
339,3,2014,"QPF","3310","",""
340,3,2014,"QPF","3311","",""
341,3,2014,"QPF","3312","",""
342,3,2014,"QPF","3313","",""
343,3,2014,"QPF","3314","",""
344,3,2014,"QPF","3315","",""
345,3,2014,"QPF","3316","",""
346,3,2014,"QPF","3317","",""
347,3,2014,"QPF","3318","",""
348,3,2014,"QPF","3319","",""
349,3,2014,"QPF","3320","",""
350,3,2014,"QPF","3321","",""
351,3,2014,"QPF","3322","",""
352,3,2014,"QPF","3324","",""
353,3,2014,"QPF","3325","",""
354,3,2014,"QPF","3326","",""
355,3,2014,"QPF","3330","",""
356,3,2014,"QPF","3331","",""
357,3,2014,"QPF","3336","",""
358,3,2014,"QPF","3338","",""
359,3,2014,"QPF","3339","",""
360,3,2014,"QPF","3355","",""
361,3,2014,"QPF","3353","",""
362,3,2014,"QPF","3352","",""
363,3,2014,"QPF","3350","",""
364,3,2014,"QPF","3348","",""
365,3,2014,"QPF","3345","",""
366,3,2014,"QPF","3342","",""
367,3,2014,"QPF","3372","",""
368,3,2014,"QPF","3371","",""
369,3,2014,"QPF","3370","",""
370,3,2014,"QPF","3369","",""
371,3,2014,"QPF","3359","",""
372,3,2014,"QPF","3357","",""
373,3,2014,"QPF","3374","",""
374,3,2014,"QPF","3393","",""
375,3,2014,"QPF","3392","",""
376,3,2014,"QPF","3381","",""
377,3,2014,"QPF","3379","",""
378,3,2014,"QPF","3375","",""
379,3,2014,"QPF","3398","",""
381,4,2005,"TIPC","1295","",""
382,4,2006,"GCPC","006019","",""
383,4,2008,"DDRPA","3110","",""
384,4,2009,"AUST","5105","",""
385,4,2009,"DDRPA","100","",""
386,4,2009,"DDRPA","101","",""
387,4,2010,"GCPC","668","",""
388,4,2010,"GCPC","891","",""
389,4,2010,"GCPC","899","",""
390,4,2010,"NL","1968031","",""
391,4,2010,"QPF","06769","",""
392,4,2010,"QPF","06770","",""
393,4,2010,"SRPF","3754","",""
394,4,2010,"SRPF","3796","",""
395,4,2011,"APFA","5915","",""
396,4,2011,"APFA","5921","",""
397,4,2011,"APFA","9109","",""
398,4,2011,"APFA","9119","",""
399,4,2011,"APFA","9135","",""
400,4,2011,"APFA","9138","",""
401,4,2011,"APFA","9146","",""
402,4,2011,"APFA","9157","",""
403,4,2011,"BELG","6158626","",""
404,4,2011,"GB N","58711","",""
405,4,2011,"GB N","58719","",""
406,4,2011,"GB N","58730","",""
407,4,2011,"GB N","58767","",""
408,4,2011,"GB R","05624","",""
409,4,2011,"GCPC","1226","",""
410,4,2011,"GCPC","1237","",""
411,4,2011,"GCPC","1255","",""
412,4,2011,"GCPC","1257","",""
413,4,2011,"GCPC","1279","",""
414,4,2011,"LM","2360","",""
415,4,2011,"LM","2551","",""
416,4,2011,"LM","2654","",""
417,4,2011,"SA","12305","",""
418,4,2011,"SA","12309","",""
419,4,2011,"SA","27659","",""
420,4,2011,"SCMDPR","384","",""
421,4,2012,"AUS","1492","",""
422,4,2012,"GRPA","1768","",""
423,4,2012,"GRPA","1773","",""
424,4,2012,"GRPA","1775","",""
425,4,2012,"GRPA","1776","",""
426,4,2012,"HIGHFIELDS","0858","",""
427,4,2012,"HIGHFIELDS","0879","",""
428,4,2012,"HIGHFIELDS","0880","",""
429,4,2012,"HIGHFIELDS","0895","",""
430,4,2012,"HIGHFIELDS","0900","",""
431,4,2012,"HIGHFIELDS","0919","",""
432,4,2012,"HIGHFIELDS","0920","",""
433,4,2012,"HIGHFIELDS","0936","",""
434,4,2012,"HIGHFIELDS","0942","",""
435,4,2012,"HIGHFIELDS","0949","",""
436,4,2012,"QPF","8934","",""
437,4,2013,"GOLD COAST","1001","",""
438,4,2013,"GOLD COAST","1003","",""
439,4,2013,"GOLD COAST","1005","",""
440,4,2013,"GOLD COAST","1007","",""
441,4,2013,"GOLD COAST","1008","",""
442,4,2013,"GOLD COAST","1009","",""
443,4,2013,"GRPA","2013","",""
444,4,2013,"GRPA","2019","",""
445,4,2013,"GRPA","2028","",""
446,4,2013,"GRPA","2030","",""
447,4,2013,"GRPA","2032","",""
448,4,2013,"GRPA","2035","",""
449,4,2013,"GRPA","2061","",""
450,4,2013,"GRPA","2243","",""
451,4,2013,"MILLMERRAN","028","",""
452,4,2013,"SAMDPR","186","",""
453,4,2013,"SAMDPR","189","",""
454,4,2013,"TOOWOOMBA","0897","",""
455,4,2013,"TOOWOOMBA","0899","",""
456,4,2013,"TRP","1601","",""
457,4,2013,"TRP","1602","",""
458,4,2013,"TRP","1603","",""
459,4,2013,"TRP","1604","",""
460,4,2013,"TRP","1605","",""
461,4,2013,"TRP","1606","",""
462,4,2013,"TRP","1607","",""
463,4,2013,"TRP","1608","",""
464,4,2013,"TRP","1609","",""
465,4,2013,"TRP","1610","",""
466,4,2013,"TRP","1611","",""
467,4,2013,"TRP","1612","",""
468,4,2013,"TRP","1652","",""
469,4,2013,"TRP","1654","",""
470,4,2013,"TRP","1655","",""
471,4,2014,"MILLMERRAN","5053","",""
472,4,2014,"MILLMERRAN","5071","",""
473,4,2014,"MILLMERRAN","5072","",""
474,4,2014,"NJ","1318","",""
475,4,2014,"QPF","11701","",""
476,4,2014,"QPF","11703","",""
477,4,2014,"QPF","11704","",""
478,4,2014,"QPF","11705","",""
479,4,2014,"QPF","11706","",""
480,4,2014,"QPF","11707","",""
481,4,2014,"QPF","11708","",""
482,4,2014,"QPF","11709","",""
483,4,2014,"QPF","11710","",""
484,4,2014,"QPF","11712","",""
485,4,2014,"QPF","11715","",""
486,4,2014,"QPF","11716","",""
487,4,2014,"QPF","11719","",""
488,4,2014,"QPF","11720","",""
489,4,2014,"QPF","11721","",""
490,4,2014,"QPF","11722","",""
491,4,2014,"QPF","11723","",""
492,4,2014,"QPF","11724","",""
493,4,2014,"QPF","11725","",""
494,4,2014,"QPF","11726","",""
495,4,2014,"QPF","11727","",""
496,4,2014,"QPF","11728","",""
497,4,2014,"QPF","11729","",""
498,4,2014,"QPF","11730","",""
499,4,2014,"QPF","3301","",""
500,4,2014,"QPF","3302","",""
501,4,2014,"QPF","3303","",""
502,4,2014,"QPF","3304","",""
503,4,2014,"QPF","3305","",""
504,4,2014,"QPF","3307","",""
505,4,2014,"QPF","3308","",""
506,4,2014,"QPF","3309","",""
507,4,2014,"QPF","3310","",""
508,4,2014,"QPF","3311","",""
509,4,2014,"QPF","3312","",""
510,4,2014,"QPF","3313","",""
511,4,2014,"QPF","3314","",""
512,4,2014,"QPF","3315","",""
513,4,2014,"QPF","3316","",""
514,4,2014,"QPF","3317","",""
515,4,2014,"QPF","3318","",""
516,4,2014,"QPF","3319","",""
517,4,2014,"QPF","3320","",""
518,4,2014,"QPF","3321","",""
519,4,2014,"QPF","3322","",""
520,4,2014,"QPF","3323","",""
521,4,2014,"QPF","3324","",""
522,4,2014,"QPF","3325","",""
523,4,2014,"QPF","3326","",""
524,4,2014,"QPF","3327","",""
525,4,2014,"QPF","3328","",""
526,4,2014,"QPF","3329","",""
527,4,2014,"QPF","3330","",""
528,4,2014,"QPF","3331","",""
529,4,2014,"QPF","3332","",""
530,4,2014,"QPF","3336","",""
531,4,2014,"QPF","3338","",""
532,4,2014,"QPF","3339","",""
533,4,2014,"QPF","3341","",""
534,4,2014,"QPF","3342","",""
535,4,2014,"QPF","3344","",""
536,4,2014,"QPF","3345","",""
537,4,2014,"QPF","3348","",""
538,4,2014,"QPF","3350","",""
539,4,2014,"QPF","3352","",""
540,4,2014,"QPF","3353","",""
541,4,2014,"QPF","3354","",""
542,4,2014,"QPF","3355","",""
543,4,2014,"QPF","3357","",""
544,4,2014,"QPF","3358","",""
545,4,2014,"QPF","3359","",""
546,4,2014,"QPF","3369","",""
547,4,2014,"QPF","3370","",""
548,4,2014,"QPF","3371","",""
549,4,2014,"QPF","3372","",""
550,4,2014,"QPF","3374","",""
551,4,2014,"QPF","3375","",""
552,4,2014,"QPF","3379","",""
553,4,2014,"QPF","3381","",""
554,4,2014,"QPF","3392","",""
555,4,2014,"QPF","3393","",""
556,4,2014,"QPF","3395","",""
557,4,2014,"QPF","3398","",""
558,4,2014,"SAMDPR","214","",""
559,4,2014,"SAMDPR","301","",""
560,4,2014,"SAMDPR","303","",""
561,4,2014,"SAMDPR","304","",""
562,4,2014,"SAMDPR","305","",""
563,4,2014,"SAMDPR","306","",""
564,4,2014,"SAMDPR","307","",""
565,4,2014,"SAMDPR","308","",""
566,4,2014,"SAMDPR","309","",""
567,4,2014,"SAMDPR","310","",""
568,4,2014,"SAMDPR","311","",""
569,4,2014,"SAMDPR","312","",""
570,4,2014,"SAMDPR","313","",""
571,4,2014,"SAMDPR","314","",""
572,4,2014,"SAMDPR","315","",""
573,4,2014,"SAMDPR","316","",""
574,4,2014,"SAMDPR","317","",""
575,4,2014,"SAMDPR","318","",""
576,4,2014,"SAMDPR","319","",""
577,4,2014,"SAMDPR","320","",""
578,4,2014,"SAMDPR","322","",""
579,4,2014,"TOOWOOMBA","208","",""
580,4,2014,"TRP","659","",""
581,4,2014,"TRP","660","",""
582,5,2005,"TIPC","1295","",""
583,5,2006,"GCPC","006019","",""
584,5,2008,"DDRPA","3110","",""
585,5,2009,"AUST","5105","",""
586,5,2009,"DDRPA","100","",""
587,5,2009,"DDRPA","101","",""
588,5,2010,"GCPC","668","",""
589,5,2010,"GCPC","891","",""
590,5,2010,"GCPC","899","",""
591,5,2010,"NL","1968031","",""
592,5,2010,"QPF","06769","",""
593,5,2010,"QPF","06770","",""
594,5,2010,"SRPF","3754","",""
595,5,2010,"SRPF","3796","",""
596,5,2011,"APFA","5915","",""
597,5,2011,"APFA","5921","",""
598,5,2011,"APFA","9109","",""
599,5,2011,"APFA","9119","",""
600,5,2011,"APFA","9135","",""
601,5,2011,"APFA","9138","",""
602,5,2011,"APFA","9146","",""
603,5,2011,"APFA","9157","",""
604,5,2011,"BELG","6158626","",""
605,5,2011,"GB N","58711","",""
606,5,2011,"GB N","58719","",""
607,5,2011,"GB N","58730","",""
608,5,2011,"GB N","58767","",""
609,5,2011,"GB R","05624","",""
610,5,2011,"GCPC","1226","",""
611,5,2011,"GCPC","1237","",""
612,5,2011,"GCPC","1255","",""
613,5,2011,"GCPC","1257","",""
614,5,2011,"GCPC","1279","",""
615,5,2011,"LM","2360","",""
616,5,2011,"LM","2551","",""
617,5,2011,"LM","2654","",""
618,5,2011,"SA","12305","",""
619,5,2011,"SA","12309","",""
620,5,2011,"SA","27659","",""
621,5,2011,"SCMDPR","384","",""
622,5,2012,"AUS","1492","",""
623,5,2012,"GRPA","1768","",""
624,5,2012,"GRPA","1773","",""
625,5,2012,"GRPA","1775","",""
626,5,2012,"GRPA","1776","",""
627,5,2012,"HIGHFIELDS","0858","",""
628,5,2012,"HIGHFIELDS","0879","",""
629,5,2012,"HIGHFIELDS","0880","",""
630,5,2012,"HIGHFIELDS","0895","",""
631,5,2012,"HIGHFIELDS","0900","",""
632,5,2012,"HIGHFIELDS","0919","",""
633,5,2012,"HIGHFIELDS","0920","",""
634,5,2012,"HIGHFIELDS","0936","",""
635,5,2012,"HIGHFIELDS","0942","",""
636,5,2012,"HIGHFIELDS","0949","",""
637,5,2012,"QPF","8934","",""
638,5,2013,"GOLD COAST","1001","",""
639,5,2013,"GOLD COAST","1003","",""
640,5,2013,"GOLD COAST","1005","",""
641,5,2013,"GOLD COAST","1007","",""
642,5,2013,"GOLD COAST","1008","",""
643,5,2013,"GOLD COAST","1009","",""
644,5,2013,"GRPA","2013","",""
645,5,2013,"GRPA","2019","",""
646,5,2013,"GRPA","2028","",""
647,5,2013,"GRPA","2030","",""
648,5,2013,"GRPA","2032","",""
649,5,2013,"GRPA","2035","",""
650,5,2013,"GRPA","2061","",""
651,5,2013,"GRPA","2243","",""
652,5,2013,"MILLMERRAN","028","",""
653,5,2013,"SAMDPR","186","",""
654,5,2013,"SAMDPR","189","",""
655,5,2013,"TOOWOOMBA","0897","",""
656,5,2013,"TOOWOOMBA","0899","",""
657,5,2013,"TRP","1601","",""
658,5,2013,"TRP","1602","",""
659,5,2013,"TRP","1603","",""
660,5,2013,"TRP","1604","",""
661,5,2013,"TRP","1605","",""
662,5,2013,"TRP","1606","",""
663,5,2013,"TRP","1607","",""
664,5,2013,"TRP","1608","",""
665,5,2013,"TRP","1609","",""
666,5,2013,"TRP","1610","",""
667,5,2013,"TRP","1611","",""
668,5,2013,"TRP","1612","",""
669,5,2013,"TRP","1652","",""
670,5,2013,"TRP","1654","",""
671,5,2013,"TRP","1655","",""
672,5,2014,"MILLMERRAN","5053","",""
673,5,2014,"MILLMERRAN","5071","",""
674,5,2014,"MILLMERRAN","5072","",""
675,5,2014,"NJ","1318","",""
676,5,2014,"QPF","11701","",""
677,5,2014,"QPF","11703","",""
678,5,2014,"QPF","11704","",""
679,5,2014,"QPF","11705","",""
680,5,2014,"QPF","11706","",""
681,5,2014,"QPF","11707","",""
682,5,2014,"QPF","11708","",""
683,5,2014,"QPF","11709","",""
684,5,2014,"QPF","11710","",""
685,5,2014,"QPF","11712","",""
686,5,2014,"QPF","11715","",""
687,5,2014,"QPF","11716","",""
688,5,2014,"QPF","11719","",""
689,5,2014,"QPF","11720","",""
690,5,2014,"QPF","11721","",""
691,5,2014,"QPF","11722","",""
692,5,2014,"QPF","11723","",""
693,5,2014,"QPF","11724","",""
694,5,2014,"QPF","11725","",""
695,5,2014,"QPF","11726","",""
