"yr","mark","ringno","birdname","bredby","bredfor","bloodline","dob","codesex","codecolour","codeeye","codecage","racelast","RaceLastDte","BredLastDte","indracelast","indstock","indrace","indsoh","indref","indbpa","indbpb","indsp1","indsp2","indstatus","indbredforstock","status","notes","sireyr","siremark","sireringno","damyr","dammark","damringno","notespedg","codes","dob_li","AqDate","AqValue","AqStatus","DisDate","DisValue","dDOB","DisStatus","codebline","Rating","RatingPerf","RatingBloodLine","RatingCustom","RatingBreeder","indDNACert","indBredSnglPen","indPedgOnly","indBF","indBFCol","indTF","indThroat","indBredSglPen","indImport","Seq","Cat","LotNo","SeqRef","SeqSale"
2008,"GCPC","8985","ACE JOS","Charly Fuller","","","","C","PC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","Sired 643 which was 1st Fed Tambo 5B (635klms, 1249mpm) on headwind north west for K Malone as 2YO, 643 won 1st Club, 6th Fed YBD Brewarrina (650 klms, 1236mpm) for Annetts as young bird. Also sired 966 which John & Nick Annetts clocked for 11th TDPF Breeders Plate 2013. Annets Top stock bird. Bred for stock by C.Fuller for Nick Annetts from imported Jos Thone World Class blood.",,"JOS THONE","C Fuller",,"JOS THONE","","","",39453,"",0,"","",0,"6/01/2008","","JT",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2010,"GCPC","612","Bro1stFedTambo5b","Annets","","","","C","RC","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","Flown SW Series 2010 and NW series in 2011 until homed badly hawked. 612 is full brother of 643 which was 1st Fed Tambo 5B (635klms, 1249mpm) in 2012 on headwind north west, 643 was also 1st Club, 6th Fed YBD Brewarrina (650 klms, 1236mpm) in 2011 for John & Nick Annetts. Sire of 612 was bred for Stock by Charley Fuller from Jos Thone imported birds. Dam was 2nd Fed Morven she is out of 1st Fed Quilpie for J&N Annets.",2008,"GCPC","8985",2007,"GCPC","7025","","",40184,"",0,"","",0,"6/01/2010","","JTD",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","643","Mr Ferrari","Annets","","","","C","RC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","Won 1st Club, 6th Fed Brewarrina YBD(650 klms,1236mpm) in 2010. Won 1st Club, 1st Fed Tambo 5 brd(635klms, 1249mpm) on headwind NW. Sire C.Fuller imp world class JosThone blood. Dam 2nd Fed Morven 500k in turn bred off 1st Fed Quilpie 827k",2008,"GCPC","8985",2007,"GCPC","7025","","",40184,"",0,"","",0,"6/01/2010","","JTD",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2008,"AUST","3608","","Barry Devine","","","","H","PC","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","True","","Purchased from Barry Devine Brisbane Auction in 2009.",,"","",,"","","","",39600,"",0,"","",0,"1/06/2008","","DM",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","627","Mr Consistent","Annets","","","","C","BC","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","2011 flew all points SW including 7th Bird home Noccatunga 1000klm 12:24 day 2012 Equal 1st Club 5th Fed Tambo 648Klm (Landed with 1277); 1st Club 4th Fed Blackall 5 Bird, 1st Club 14th Fed Barcaldine. My 2nd Bird Mungalaha 448 klms. In 2013 Flew all points West. Sire of 1772 8th Club 19th Fed Cunnamulla 615klms 1051.87mpm
",2004,"TRP","144",2008,"AUST","3608","","",40330,"",0,"","",0,"1/06/2010","","TGD",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2006,"SUNSHINECOAS","1351","","Annets???","","","","H","BB","NA","NA","","","","False","True","False","False","False","False","False","False","False","False","False","","",,"","",,"","","","",38869,"",0,"","",0,"1/06/2006","","DOR",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2010,"GCPC","720","","Annets","","","","H","BC","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","Was Annets 2nd Bird home from Coopers Crossing in 2011 behind their Fed Winner. Hawked in 2012 flying north west.",,"","",2006,"SUNSHINECOAS","1351","","",40330,"",0,"","",0,"1/06/2010","","DX",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"GCPC","1233","","Annets","","","","H","PC","NA","NA","","","","False","False","True","False","False","False","False","False","True","False","False","","1st Club 25th Fed Blackall. 1/2 Sister to 643 1st Club, 1st Fed Tambo 5 birder and 1st club 6th Fed Brewarrina. Flew Hard Winton 1060 Klms in 2012.",,"","",2008,"AUST","3608","","",40695,"",0,"","",0,"1/06/2011","","DMX",,,,,,"False","False","False","U","U","U","U","U","",,,,,
2009,"GCPC","680","Quilpie Fed Winn","Annets","","","","H","BC","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","Check Year and Mark, Was it bred from Red Cock Red fox jannsen??? Is this mother 2nd fed Morven",,"","",,"","","","",39965,"",0,"","",0,"1/06/2009","","ANN",,,,,,"False","False","True","U","U","U","U","U","",,,,,
2011,"GCPC","1235","4th Fed","Annets","","","","C","BC","NA","NA","","","","False","True","True","False","False","False","False","False","False","False","False","","4th FED Mungallala 448Klms 1421mpm. Flew hard Winton 1059 klms & 1/2 Brother to 2nd FED Morney 1140klms, 8th FED Thargaminda (900Klms) plus others. Dam is old Moziac Harrison hen line full of winners. Sire is Joe Briffa stock cock from Fed?
",,"","",2003,"GCPC","3189","","",40695,"",0,"","",0,"1/06/2011","","HR",,,,,,"False","False","False","U","U","U","U","U","",,,,,
