"code_pnt","pntname","State","lat_deg","lat_min","lat_sec","lng_deg","lng_min","lng_sec","series","DistSpec","DistCalcGCM_TDPF","DistCalcGCM_UK","DistCalcGCM_Intl","DistCalcGEOD","DistGen","notes","system","MyPoint","Club","DistCalcGCM_TDPFyds","DistCalcGCM_UKyds","DistCalcGCM_Intlyds","DistCalcGEODyds","DistType"
"20KT","20Klm Toss","",,,,,,,"TOSS",20000,0,0,0,0,,"","False","N","",0,0,0,0,""
"5KT","5Klm Toss","",,,,,,,"TOSS",,0,0,0,0,,"","False","N","",0,0,0,0,""
"70KT","70Klm Toss","",,,,,,,"TOSS",,0,0,0,0,,"","False","N","",0,0,0,0,""
"ACLAN","Ackland","QLD",27,18,20,151,41,20,"North",,125723.63942651,125782.46774412,125702.100323434,125682.046122523,,"","False","N","",137492.629313225,137556.964549647,137469.07393471,137447.142460052,""
"ALLOR","Allora","QLD",28,2,13,151,58,52,"South/West",,128962.207954117,129022.551655301,128940.114016154,128775.019236894,,"","False","N","",141034.360240702,141100.352715753,141010.198089206,140829.64878766,""
"AUBIG","Aubigny","QLD",27,31,29,151,38,54,"West",,132660.777883435,132722.852210995,132638.050302672,132602.330746823,,"","False","N","",145079.153301104,145147.038406466,145054.298191505,145015.234928033,""
"AYR","Ayr","QLD",19,35,25,147,24,39,"North",,1023444.67531243,1023923.5632025,1023269.33771917,1020755.50578256,,"","False","N","",1119249.33136843,1119773.04795388,1119057.58042306,1116308.42867887,""
"BARCA","Barcaldine","QLD",23,33,22,145,17,20,"West",,873347.821422839,873756.476336563,873198.19857679,872380.174642521,,"","False","N","",955101.910986231,955548.820086429,954938.281945563,954043.682790807,""
"BEAUD","Beaudesert","QLD",27,59,35,152,59,40,"TOSS",,80780.1987090175,80817.9971947116,80766.3593623805,80543.9795945995,,"","False","N","",88342.0331101686,88383.3699121086,88326.898262293,88083.7015244499,""
"BEERW","Beerwah","QLD",26,51,33,152,57,36,"TOSS",,45306.2943264712,45327.4939440176,45298.5324055792,45169.9406088046,,"","False","Y","",49547.4165383722,49570.600652117,49538.9280240654,49398.2987491948,""
"BIDDE","Biddeston","QLD",27,34,17,151,42,59,"TOSS",,127366.36457355,127425.961551351,127344.544037114,127302.485422994,,"","False","N","",139289.12996128,139354.305812173,139265.266804428,139219.27108344,""
"BIRDS","Birdsville","QLD",25,52,53,139,21,26,"West",,1360234.64547986,1360871.12336193,1360001.60868288,1359661.13068582,,"","False","Y","",1487566.21064323,1488262.26921984,1487311.35927169,1486939.00912932,""
"BOLLO","Bollon","QLD",28,1,58,147,28,55,"West",,546022.753163099,546278.246880049,545929.20798404,545828.612575396,,"","False","Y","",597135.943086697,597415.35357049,597033.641143426,596923.628998579,""
"BOWE1","Bowenville","QLD",27,18,25,151,29,50,"TOSS",,144648.838722043,144716.522475593,144624.05733438,144601.082184554,,"","False","N","",158189.416514814,158263.436144533,158162.315341452,158137.18948785,""
"BOWEN","Bowen","QLD",19,58,55,148,13,51,"North",,941795.663426556,942236.34629785,941634.31402589,939224.226661298,,"","False","Y","QPF/NRC",1029957.15547992,1030439.09067479,1029780.70216185,1027145.00651906,""
"BRISB","Brisbane","QLD",27,28,28,153,1,30,"TOSS",,23923.8231403054,23935.0175208735,23919.7244863455,23857.2858998694,,"","False","Y","",26163.3322244694,26175.5745110025,26158.8498955123,26090.5664329561,""
"BROOK","Brookstead","QLD",27,45,30,151,26,39,"TOSS",,159180.563118067,159255.046522836,159153.29214045,159082.42707557,,"","False","N","",174081.455631549,174162.911427839,174051.631817718,173974.133074115,""
"BUNDA","Bundaberg","QLD",24,53,0,152,21,0,"North",,271828.335539434,271955.528832052,271781.765629711,271009.966273842,,"","False","Y","QPF",297274.18602928,297413.28588602,297223.256710308,296379.209216737,""
"CALOU","Caloundra","QLD",26,49,17,153,7,11,"TOSS",,51937.7805079933,51962.0831153759,51928.8824740754,51793.9921749421,,"","False","Y","",56799.6761413465,56826.2537158062,56789.9451624736,56642.4277824384,""
"CEC","Cecil Plains","QLD",27,32,0,151,11,38,"West",,176859.68187735,176942.437654906,176829.382094943,176790.552174668,,"","False","Y","",193415.516697888,193506.019243781,193382.380552851,193339.915763738,""
"CHARL","Charleville","QLD",26,24,20,146,14,0,"North/West",,673923.032361551,674238.372884411,673807.575175254,673638.420371672,,"","False","Y","",737008.967420916,737353.826970121,736882.702287409,736697.712902664,""
"CHART","Charters Towers","QLD",20,5,23,146,15,9,"North/West",,1049493.48283743,1049984.55942589,1049313.68253569,1047111.10207892,,"","False","N","",1147736.56776584,1148273.61403374,1147539.93635786,1145131.17234453,""
"CHINC","Chinchilla","QLD",26,44,28,150,37,29,"North/West",,238603.485200505,238715.131997196,238562.607406278,238480.879293163,,"","False","Y","",260939.157450125,261061.255503454,260894.453085579,260805.074403796,""
"CLIFT","Clifton","QLD",27,56,2,151,54,7,"TOSS",,127970.432905343,128030.312537415,127948.5088793,127819.260639913,,"","False","N","",139949.745129612,140015.230094043,139925.768795491,139784.421628416,""
"COORO","Cooroy","QLD",26,25,0,152,54,43,"TOSS",,94610.3873631315,94654.6572390468,94594.1786143651,94323.364740243,,"","False","Y","",103466.865724194,103515.279703194,103449.139674456,103152.974913577,""
"COOYA","COOYA","QLD",26,59,3,151,49,58,"TOSS",,115935.481123157,115989.729388137,115915.618937418,115873.118823534,,"","False","Y","",126788.201511096,126847.52795616,126766.48002615,126720.001476605,""
"CUNNA","Cunnamulla","QLD",28,4,14,145,40,53,"West",,721965.63914805,722303.45965752,721841.951252999,721728.066698544,,"","False","Y","",789548.842628699,789918.286516061,789413.576309792,789289.031022195,""
"DALBY","Dalby","QLD",27,11,24,151,15,25,"North/West",,168617.042381653,168695.941282202,168588.154736714,168559.717886834,,"","False","Y","",184401.283719,184487.568345629,184369.691901618,184338.593078221,""
"ESK","Esk","QLD",27,14,29,152,24,58,"TOSS",,53910.6700327059,53935.8957900395,53901.4340013277,53892.4417921159,,"","False","Y","",58957.2478544675,58984.8349949451,58947.147238192,58937.3132682759,""
"EULO","Eulo","QLD",28,9,44,145,2,13,"West",,785815.851633731,786183.54878849,785681.224854677,785559.605283006,,"","False","Y","",859376.073505165,859778.190790581,859228.844313323,859095.839933548,""
"GOOND","Goondiwindi","QLD",28,32,53,150,18,31,"West",,296867.583770782,297006.493371124,296816.724111326,296609.31819767,,"","False","N","",324657.358287565,324809.271215594,324601.737655388,324374.916474154,""
"GOWRI","Gowrie","QLD",27,30,8,151,53,14,"TOSS",,109147.992240284,109199.064519,109129.292894114,109096.674973381,,"","False","Y","",119365.335793897,119421.188948624,119344.886001932,119309.214717639,""
"GREEN","Greenmount","QLD",27,47,17,151,54,15,"TOSS",,119183.897753988,119239.666010642,119163.479046174,119073.365706351,,"","False","N","",130340.702422739,130401.691145899,130318.372319687,130219.823470122,""
"GYMPI","Gympie","QLD",26,12,56,152,41,8,"North",,119992.424362254,120048.570942829,119971.867136831,119642.54657149,,"","False","Y","",131224.915206805,131286.317668787,131202.43361951,130842.285356048,""
"HAMPT","Hampton","QLD",27,21,10,152,4,30,"TOSS",,88014.5612774616,88055.744849531,87999.4825323967,87983.1682853341,,"","False","Y","",96253.6043586447,96298.6431248956,96237.1140922544,96219.2726685242,""
"HOMEH","Homehill","QLD",19,39,30,147,24,36,"North",,1017120.34796168,1017596.27658696,1016946.09385867,1014462.35061289,,"","False","N","",1112332.98373437,1112853.46403826,1112142.41770478,1109426.17125376,""
"INJUN","Injune","QLD",25,50,42,148,33,55,"North/West",,464650.225388431,464867.643458426,464570.621034433,464322.244838596,,"","False","N","",508146.132987042,508383.903562569,508059.076869466,507787.450177936,""
"JANDO","Jandowie","QLD",26,46,58,151,6,36,"North/West",,190987.367691561,191076.734063528,190954.647539506,190879.757764216,,"","False","Y","",208865.695181168,208963.427139215,208829.912095679,208748.011888525,""
"JOHND","Johndaryn","QLD",27,22,19,151,35,31,"North/West",,135688.673352278,135752.164485755,135665.427029352,135641.974510978,,"","False","Y","",148390.490064785,148459.924603267,148365.06765357,148339.419744951,""
"JULIA","Julia Creek","QLD",20,39,31,141,44,34,"North/West",,1354423.46905481,1355057.22778451,1354191.42783455,1352468.33384361,,"","False","N","",1481211.04999303,1481904.13487742,1480957.28739414,1479072.89457471,""
"KILKI","Kilkevin","QLD",26,5,9,152,14,34,"North",,149381.211537222,149451.109651828,149355.619394586,149014.830365844,,"","False","N","",163364.786749222,163441.228026336,163336.798926114,162964.10863639,""
