"reldate","code_pnt","code_race","yr","mark","ringno","velocity","position","notes","clkdate","racedatet","ClkHr","ClkMin","ClkSec","FlyTimeHrs","RaceCode","Status","PosClub","PosLoft","PosComb","PosSec","PosFed","PosNat","PosINat","OOLoft","OOClub","OOComb","OOSec","OOFed","OONat","OOINat","Rating","CodeRating","FThr","FTmin","FTsec","RaceStatus","Distance"
"8/06/2013","MOONI","FLOCK",2013,"SAMDPR","191",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0851",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0855",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0867",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0871",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0883",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,2,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0875",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,2,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0885",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0890",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0899",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0901",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0902",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0903",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0904",1143.2,,"14 mins before next bird","8/06/2013","",11,18,0,2.3,2,"",0,1,0,0,0,0,0,,,,,,,,"HO","CB",2,18,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0907",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,2,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0914",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0916",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0922",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0923",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0924",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,2,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0929",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,2,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0932",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0933",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0942",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0946",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0947",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0954",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0958",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0960",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0974",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,1,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0981",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0983",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0987",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0992",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","0998",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2012,"HIGHFIELDS","1000",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1555",998.54,,"","8/06/2013","",11,38,0,2.63333333333333,2,"",0,3,0,0,0,0,0,,,,,,,,"HO","HO",2,38,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1557",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1558",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1559",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1560",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1565",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1566",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1567",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,2,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1568",,,"","","",0,0,0,0,2,"",,,,,,,,,,,,,,,"HO","HO",,,,"R",0
"8/06/2013","MOONI","FLOCK",2011,"GCPC","1571",1037.9,,"","8/06/2013","",11,32,0,2.53333333333333,2,"",0,2,0,0,0,0,0,,,,,,,,"HO","HO",2,32,0,"R",157770.524005
